"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ablation","batch_size","depth","device","dim","epochs","fraction","grad_clip","kernel_size","lr","mlp_ratio","model","num_workers","param_count","patch_size","save_path","seed","strong_aug","weight_decay","best_checkpoint","best_test_accuracy","epoch","test/accuracy","test/loss","time/eval_sec","time/train_sec","train/accuracy","train/loss"
"convmixer-non-linear-channel-mix","finished","-","","","2026-03-27T14:37:39.000Z","1885","","non_linear_channel_mix","256","8","cuda","256","50","1","1","5","0.001","1","convmixer","2","1120522","2","./checkpoints/non_linear_channel_mix_d256_dep8_k5_p2_mlpr1.0.pt","42","false","0.01","./checkpoints/non_linear_channel_mix_d256_dep8_k5_p2_mlpr1.0.pt","0.9125","50","0.9109","0.46664022397995","2.624841690063477","34.95246243476868","0.9988","0.004907303932607174"
"convmixer-patch-to-conv","killed","-","","","2026-03-27T14:19:10.000Z","1071","","patch_to_conv","256","8","cuda","256","50","1","1","5","0.001","1","convmixer","2","594442","2","./checkpoints/convmixer_patch_to_conv_best.pt","42","false","0.01","","0.887","31","0.887","0.5579894904136657","2.3028206825256348","31.864689350128177","0.98964","0.030822091794013975"
"convmixer","killed","-","","","2026-03-26T19:23:17.000Z","944","","","128","8","cuda","256","30","","1","5","0.001","","convmixer","0","594186","2","./checkpoints/convmixer_best.pt","42","false","0.01","","0.8848","21","0.8848","0.5121286851882935","3.5997767448425293","40.68889594078064","0.98166","0.052451009923815725"
"resnet18","killed","-","","","2026-03-27T07:38:11.000Z","2419","","","256","8","cuda","256","150","","1","5","0.001","","resnet18","0","11181642","2","./checkpoints/resnet18_best.pt","42","false","0.01","","0.8453","103","0.8401","0.9528275959014892","2.289806842803955","20.893181085586548","0.99056","0.02702780435323715"
"convmixer_data_size_50","finished","-","","","2026-03-27T13:31:18.000Z","1502","","data_size","256","8","cuda","256","50","0.5","1","5","0.001","4","convmixer","2","594186","2","./checkpoints/data_size_convmixer_frac0p5.pt","42","false","0.01","./checkpoints/data_size_convmixer_frac0p5.pt","0.8407","50","0.8392","0.8949164140701293","3.519341230392456","26.126781463623047","0.999","0.005425110014677048"
"resnet18_data_size_50","finished","-","","","2026-03-27T14:12:37.000Z","851","","data_size","256","8","cuda","256","50","0.5","1","5","0.001","4","resnet18","2","11181642","2","./checkpoints/data_size_resnet18_frac0p5.pt","42","false","0.01","./checkpoints/data_size_resnet18_frac0p5.pt","0.7896","50","0.7894","0.7662011692047119","2.684605598449707","13.993306636810305","0.93296","0.19550484164237977"
"convmixer-no-channel-mix","finished","-","","","2026-03-27T15:09:17.000Z","941","","no_channel_mix","256","8","cuda","256","50","1","1","5","0.001","1","convmixer","2","63754","2","./checkpoints/convmixer_no_channel_mix_best.pt","42","false","0.01","./checkpoints/convmixer_no_channel_mix_best.pt","0.7421","50","0.7396","0.745683855342865","1.3652009963989258","17.288264274597168","0.76524","0.6800730157279968"
"convmixer_data_size_10","finished","-","","","2026-03-27T14:27:28.000Z","494","","data_size","256","8","cuda","256","50","0.1","1","5","0.001","4","convmixer","2","594186","2","./checkpoints/data_size_convmixer_frac0p1.pt","42","false","0.01","./checkpoints/data_size_convmixer_frac0p1.pt","0.6637","50","0.6617","1.63409786529541","3.7609686851501465","5.690592288970947","0.999","0.008196945522725582"
"resnet18_data_size_10","finished","-","","","2026-03-27T14:42:12.000Z","339","","data_size","256","8","cuda","256","50","0.1","1","5","0.001","4","resnet18","2","11181642","2","./checkpoints/data_size_resnet18_frac0p1.pt","42","false","0.01","./checkpoints/data_size_resnet18_frac0p1.pt","0.6466","50","0.645","1.1724554412841797","2.6754157543182373","3.104778289794922","0.8654","0.38837885465621946"
"deit-tiny","killed","-","","","2026-03-27T06:59:02.000Z","2334","","","256","8","cuda","256","300","","1","5","0.001","","deit_tiny","0","5489482","2","./checkpoints/deit_tiny_best.pt","42","false","0.01","","0.6365","89","0.6362","1.7777821842193604","2.51157283782959","23.27502989768982","0.93138","0.193621743388176"
"deit_tiny_data_size_50","finished","-","","","2026-03-27T13:56:43.000Z","785","","data_size","256","8","cuda","256","50","0.5","1","5","0.001","4","deit_tiny","2","5489482","2","./checkpoints/data_size_deit_tiny_frac0p5.pt","42","false","0.01","./checkpoints/data_size_deit_tiny_frac0p5.pt","0.5401","50","0.5394","1.3444627199172974","2.7671546936035156","12.390977144241331","0.62692","1.0386805319213868"
"convmixer_data_size_1","finished","-","","","2026-03-27T14:53:33.000Z","253","","data_size","256","8","cuda","256","50","0.01","1","5","0.001","4","convmixer","2","594186","2","./checkpoints/data_size_convmixer_frac0p01.pt","42","false","0.01","./checkpoints/data_size_convmixer_frac0p01.pt","0.4077","50","0.403","2.304778134727478","3.5784664154052734","1.010974645614624","1","0.02717934985458851"
"deit_tiny_data_size_10","finished","-","","","2026-03-27T14:36:06.000Z","320","","data_size","256","8","cuda","256","50","0.1","1","5","0.001","4","deit_tiny","2","5489482","2","./checkpoints/data_size_deit_tiny_frac0p1.pt","42","false","0.01","./checkpoints/data_size_deit_tiny_frac0p1.pt","0.3965","50","0.3961","1.70041568775177","3.5641393661499023","2.6342520713806152","0.4844","1.4125047666549682"
"resnet18_data_size_1","finished","-","","","2026-03-27T15:09:43.000Z","224","","data_size","256","8","cuda","256","50","0.01","1","5","0.001","4","resnet18","2","11181642","2","./checkpoints/data_size_resnet18_frac0p01.pt","42","false","0.01","./checkpoints/data_size_resnet18_frac0p01.pt","0.376","50","0.3757","1.726339868927002","2.837111711502075","0.8996245861053467","0.626","1.1428263006210326"
"deit_tiny_data_size_1","finished","-","","","2026-03-27T15:01:39.000Z","203","","data_size","256","8","cuda","256","50","0.01","1","5","0.001","4","deit_tiny","2","5489482","2","./checkpoints/data_size_deit_tiny_frac0p01.pt","42","false","0.01","./checkpoints/data_size_deit_tiny_frac0p01.pt","0.3","50","0.2988","1.9937360891342164","2.7897374629974365","0.6231997013092041","0.392","1.6428161211013794"